DateTime,State,Fuel Type,Supply
10/09/2022 00:00,NSW,Gas,19113.972
10/09/2022 00:00,NSW,Hydro,59277.275
10/09/2022 00:00,NSW,Liquid Fuel,0
10/09/2022 00:00,NSW,Solar,87654.492
10/09/2022 00:00,NSW,Wind,124560.404
10/09/2022 00:00,QLD,Battery,1130.253
10/09/2022 00:00,QLD,Biomass,5712.892
10/09/2022 00:00,QLD,Black coal,752219
10/09/2022 00:00,QLD,Gas,68625.797
10/09/2022 00:00,QLD,Hydro,27362.048
10/09/2022 00:00,QLD,Liquid Fuel,140.995
10/09/2022 00:00,QLD,Solar,87152.481
10/09/2022 00:00,QLD,Wind,38545.216
10/09/2022 00:00,SA,Battery,1801.413
10/09/2022 00:00,SA,Gas,64071.958
10/09/2022 00:00,SA,Liquid Fuel,218.785
10/09/2022 00:00,SA,Solar,10532.086
10/09/2022 00:00,SA,Wind,167296.552
10/09/2022 00:00,TAS,Gas,1374.132
10/09/2022 00:00,TAS,Hydro,174078.392
10/09/2022 00:00,TAS,Wind,43758.847
10/09/2022 00:00,VIC,Battery,3300.751
10/09/2022 00:00,VIC,Brown coal,600692.111
10/09/2022 00:00,VIC,Gas,11959.299
10/09/2022 00:00,VIC,Hydro,81263.185
10/09/2022 00:00,VIC,Solar,28035.863
10/09/2022 00:00,VIC,Wind,268236.669
17/09/2022 00:00,NSW,Battery,363.935
17/09/2022 00:00,NSW,Black coal,683861.099
17/09/2022 00:00,NSW,Gas,27514.561
17/09/2022 00:00,NSW,Hydro,45936.294
17/09/2022 00:00,NSW,Liquid Fuel,0
17/09/2022 00:00,NSW,Solar,80210.058
17/09/2022 00:00,NSW,Wind,121475.478
17/09/2022 00:00,QLD,Battery,758.731
17/09/2022 00:00,QLD,Biomass,6468.333
17/09/2022 00:00,QLD,Black coal,771044.158
17/09/2022 00:00,QLD,Gas,76338.47
17/09/2022 00:00,QLD,Hydro,25154.821
17/09/2022 00:00,QLD,Liquid Fuel,0
17/09/2022 00:00,QLD,Solar,94350.715
17/09/2022 00:00,QLD,Wind,32617.145
17/09/2022 00:00,SA,Battery,1496.008
17/09/2022 00:00,SA,Gas,59401.958
17/09/2022 00:00,SA,Liquid Fuel,356.983
17/09/2022 00:00,SA,Solar,14024.786
17/09/2022 00:00,SA,Wind,116882.844
17/09/2022 00:00,TAS,Gas,663.692
17/09/2022 00:00,TAS,Hydro,160799.54
17/09/2022 00:00,TAS,Wind,27637.937
17/09/2022 00:00,VIC,Battery,3266.921
17/09/2022 00:00,VIC,Brown coal,616975.375
17/09/2022 00:00,VIC,Gas,18032.38
17/09/2022 00:00,VIC,Hydro,84971.707
17/09/2022 00:00,VIC,Solar,27372.08
17/09/2022 00:00,VIC,Wind,176605.259
24/09/2022 00:00,NSW,Battery,290.649
24/09/2022 00:00,NSW,Black coal,742391.451
24/09/2022 00:00,NSW,Gas,13609.744
24/09/2022 00:00,NSW,Hydro,64237.693
24/09/2022 00:00,NSW,Liquid Fuel,8.817
24/09/2022 00:00,NSW,Solar,102435.385
24/09/2022 00:00,NSW,Wind,92365.419
24/09/2022 00:00,QLD,Battery,875.575
24/09/2022 00:00,QLD,Biomass,5944.025
24/09/2022 00:00,QLD,Black coal,789481.038
24/09/2022 00:00,QLD,Gas,72225.182
24/09/2022 00:00,QLD,Hydro,22727.297
24/09/2022 00:00,QLD,Liquid Fuel,0
24/09/2022 00:00,QLD,Solar,90568.869
24/09/2022 00:00,QLD,Wind,31730.681
24/09/2022 00:00,SA,Battery,1544.283
24/09/2022 00:00,SA,Gas,57896.096
24/09/2022 00:00,SA,Liquid Fuel,206.374
24/09/2022 00:00,SA,Solar,17454.086
24/09/2022 00:00,SA,Wind,98283.893
24/09/2022 00:00,TAS,Gas,4349.636
24/09/2022 00:00,TAS,Hydro,154357.378
24/09/2022 00:00,TAS,Wind,16009.028
24/09/2022 00:00,VIC,Battery,3197.971
24/09/2022 00:00,VIC,Brown coal,613858.298
24/09/2022 00:00,VIC,Gas,27910.842
24/09/2022 00:00,VIC,Hydro,75402.078
24/09/2022 00:00,VIC,Solar,27020.676
24/09/2022 00:00,VIC,Wind,171328.692
01/10/2022 00:00,NSW,Battery,376.54
01/10/2022 00:00,NSW,Black coal,707983.153
01/10/2022 00:00,NSW,Gas,33818.244
01/10/2022 00:00,NSW,Hydro,74923.314
01/10/2022 00:00,NSW,Liquid Fuel,3.3
01/10/2022 00:00,NSW,Solar,78535.88
01/10/2022 00:00,NSW,Wind,101754.439
01/10/2022 00:00,QLD,Battery,808.705
01/10/2022 00:00,QLD,Biomass,6889.15
01/10/2022 00:00,QLD,Black coal,804714.007
01/10/2022 00:00,QLD,Gas,75739.711
01/10/2022 00:00,QLD,Hydro,18894.801
01/10/2022 00:00,QLD,Liquid Fuel,0
01/10/2022 00:00,QLD,Solar,89005.197
01/10/2022 00:00,QLD,Wind,48810.274
01/10/2022 00:00,SA,Battery,1215.657
01/10/2022 00:00,SA,Gas,55007.244
01/10/2022 00:00,SA,Liquid Fuel,38.319
01/10/2022 00:00,SA,Solar,13009.88
01/10/2022 00:00,SA,Wind,115353.228
01/10/2022 00:00,TAS,Gas,6494.193
01/10/2022 00:00,TAS,Hydro,121880.12
01/10/2022 00:00,TAS,Wind,39353.977
01/10/2022 00:00,VIC,Battery,3198.861
01/10/2022 00:00,VIC,Brown coal,601748.485
01/10/2022 00:00,VIC,Gas,11705.955
01/10/2022 00:00,VIC,Hydro,76988.431
01/10/2022 00:00,VIC,Solar,20694.66
01/10/2022 00:00,VIC,Wind,195336.292
08/10/2022 00:00,NSW,Battery,378.806
08/10/2022 00:00,NSW,Black coal,736795.753
08/10/2022 00:00,NSW,Gas,40690.624
08/10/2022 00:00,NSW,Hydro,40594.561
08/10/2022 00:00,NSW,Liquid Fuel,1.8
08/10/2022 00:00,NSW,Solar,107779.86
08/10/2022 00:00,NSW,Wind,118379.393
08/10/2022 00:00,QLD,Battery,1048.744
08/10/2022 00:00,QLD,Biomass,5948.308
08/10/2022 00:00,QLD,Black coal,819255.184
08/10/2022 00:00,QLD,Gas,66839.657
08/10/2022 00:00,QLD,Hydro,18385.578
08/10/2022 00:00,QLD,Liquid Fuel,0
08/10/2022 00:00,QLD,Solar,88378.633
08/10/2022 00:00,QLD,Wind,46802.974
08/10/2022 00:00,SA,Battery,1584.45
08/10/2022 00:00,SA,Gas,74070.962
08/10/2022 00:00,SA,Liquid Fuel,115.121
08/10/2022 00:00,SA,Solar,13236.633
08/10/2022 00:00,SA,Wind,104757.543
08/10/2022 00:00,TAS,Gas,3502.653
08/10/2022 00:00,TAS,Hydro,153691.645
08/10/2022 00:00,TAS,Wind,31129.98
08/10/2022 00:00,VIC,Battery,3043.357
08/10/2022 00:00,VIC,Brown coal,589637.969
08/10/2022 00:00,VIC,Gas,17017.617
08/10/2022 00:00,VIC,Hydro,76402.161
08/10/2022 00:00,VIC,Solar,27593.479
08/10/2022 00:00,VIC,Wind,171684.157
15/10/2022 00:00,NSW,Battery,238.819
15/10/2022 00:00,NSW,Black coal,761038.854
15/10/2022 00:00,NSW,Gas,26222.549
15/10/2022 00:00,NSW,Hydro,51079.86
15/10/2022 00:00,NSW,Liquid Fuel,0
15/10/2022 00:00,NSW,Solar,94445.556
15/10/2022 00:00,NSW,Wind,96250.295
15/10/2022 00:00,QLD,Battery,806.231
15/10/2022 00:00,QLD,Biomass,5579.792
15/10/2022 00:00,QLD,Black coal,817527.67
15/10/2022 00:00,QLD,Gas,87664.058
15/10/2022 00:00,QLD,Hydro,11330.388
15/10/2022 00:00,QLD,Liquid Fuel,0
15/10/2022 00:00,QLD,Solar,71848.539
15/10/2022 00:00,QLD,Wind,46297.312
15/10/2022 00:00,SA,Battery,1388.232
15/10/2022 00:00,SA,Gas,59591.502
15/10/2022 00:00,SA,Liquid Fuel,36.951
15/10/2022 00:00,SA,Solar,12188.181
15/10/2022 00:00,SA,Wind,109227.888
15/10/2022 00:00,TAS,Gas,3603.046
15/10/2022 00:00,TAS,Hydro,165993.087
15/10/2022 00:00,TAS,Wind,13313.336
15/10/2022 00:00,VIC,Battery,3511.298
15/10/2022 00:00,VIC,Brown coal,598490.199
15/10/2022 00:00,VIC,Gas,9205.002
15/10/2022 00:00,VIC,Hydro,75381.212
15/10/2022 00:00,VIC,Solar,31615.294
15/10/2022 00:00,VIC,Wind,85007.051
22/10/2022 00:00,NSW,Battery,354.587
22/10/2022 00:00,NSW,Black coal,699535.066
22/10/2022 00:00,NSW,Gas,1797.3
22/10/2022 00:00,NSW,Hydro,49992.508
22/10/2022 00:00,NSW,Liquid Fuel,1.783
22/10/2022 00:00,NSW,Solar,83275.479
22/10/2022 00:00,NSW,Wind,144551.095
22/10/2022 00:00,QLD,Battery,1113.093
22/10/2022 00:00,QLD,Biomass,3072.292
22/10/2022 00:00,QLD,Black coal,783896.998
22/10/2022 00:00,QLD,Gas,97879.602
22/10/2022 00:00,QLD,Hydro,12576.959
22/10/2022 00:00,QLD,Liquid Fuel,58.466
22/10/2022 00:00,QLD,Solar,103230.121
22/10/2022 00:00,QLD,Wind,19306.801
22/10/2022 00:00,SA,Battery,1372.305
22/10/2022 00:00,SA,Gas,45134.822
22/10/2022 00:00,SA,Liquid Fuel,13.468
22/10/2022 00:00,SA,Solar,10766.842
22/10/2022 00:00,SA,Wind,135683.76
22/10/2022 00:00,TAS,Gas,2399.695
22/10/2022 00:00,TAS,Hydro,167662.291
22/10/2022 00:00,TAS,Wind,25981.45
22/10/2022 00:00,VIC,Battery,2501.599
22/10/2022 00:00,VIC,Brown coal,530067.152
22/10/2022 00:00,VIC,Gas,24555.476
22/10/2022 00:00,VIC,Hydro,58873.306
22/10/2022 00:00,VIC,Solar,20703.273
22/10/2022 00:00,VIC,Wind,263107.02
29/10/2022 00:00,NSW,Battery,362.534
29/10/2022 00:00,NSW,Black coal,627223.514
29/10/2022 00:00,NSW,Gas,13468.075
29/10/2022 00:00,NSW,Hydro,104066.278
29/10/2022 00:00,NSW,Liquid Fuel,67.375
29/10/2022 00:00,NSW,Solar,97524.948
29/10/2022 00:00,NSW,Wind,127769.953
29/10/2022 00:00,QLD,Battery,803.555
29/10/2022 00:00,QLD,Biomass,6963.7
29/10/2022 00:00,QLD,Black coal,736930.026
29/10/2022 00:00,QLD,Gas,82582.127
29/10/2022 00:00,QLD,Hydro,14946.232
29/10/2022 00:00,QLD,Liquid Fuel,0
29/10/2022 00:00,QLD,Solar,105959.5
29/10/2022 00:00,QLD,Wind,44795.597
29/10/2022 00:00,SA,Battery,1527.45
29/10/2022 00:00,SA,Gas,32478.009
29/10/2022 00:00,SA,Liquid Fuel,302.212
29/10/2022 00:00,SA,Solar,15404.284
29/10/2022 00:00,SA,Wind,146313.243
29/10/2022 00:00,TAS,Gas,316.615
29/10/2022 00:00,TAS,Hydro,152798.939
29/10/2022 00:00,TAS,Wind,26008.407
